year,start_date,end_date,trading_days,open_price,close_price,avg_price,min_price,max_price,price_range_pct,year_return,avg_volatility,total_volume,avg_monthly_volume
2017,2017-08-17,2017-12-31,137,301.13,733.98,380.3643376344086,144.21,864.9,499.75036405242344,42.147909540729934,5.596998835715446,2749549.0495100003,549909.809902
2018,2018-01-01,2018-12-31,365,733.01,131.45,482.92265770609316,81.79,1440.0,1660.606431104047,-84.48725119711872,5.536428639221629,86940049.58096,7245004.131746667
2019,2019-01-01,2019-12-31,365,131.45,129.16,180.66485451868917,100.91,366.8,263.4922207908037,15.199695701787764,4.1232512581453244,144079899.46418,12006658.288681665
2020,2020-01-01,2020-12-31,366,129.16,736.42,306.98904535904086,86.0,758.74,782.2558139534884,377.4310932177144,4.739865442669669,315791759.55734,26315979.96311167
2021,2021-01-01,2021-12-31,365,736.42,3676.23,2772.214863735279,714.29,4868.0,581.5159109045346,528.7512560766954,5.327602730102002,320898970.14239,26741580.845199168
2022,2022-01-01,2022-12-31,365,3676.22,1196.13,1991.9600387224782,881.56,3900.73,342.4803756976269,-64.78828796970801,4.370192010981095,258320184.64361,21526682.053634167
2023,2023-01-01,2023-12-31,365,1196.13,2281.87,1793.6514721582182,1190.57,2445.8,105.43101203625156,71.54907911347425,2.403181756545298,135987827.8295,11332318.985791666
2024,2024-01-01,2024-12-31,366,2281.87,3337.78,3043.901233005809,2100.0,4107.8,95.60952380952382,62.30503928795243,3.2724899945849173,148489321.9698,12374110.16415
2025,2025-01-01,2025-04-10,100,3337.78,1524.77,2427.5728773041474,1385.05,3744.83,170.37507671203204,-45.39993648472937,4.753647179896167,61785894.567,15446473.64175
